"['A31', '2023-01-20', '2023-01-23', '1941', 'Bank F', '', '', 'Pris banktjï¿½nster enligt faktura', '', '', '1212']","['A31', '2023-01-20', '2023-01-23', '6570', 'Bankkostnader', 'ADM1', '', 'Pris banktjï¿½nster enligt faktura', '', '1212', '']",596,83139,0741326839,Företagskonto,SEK,2023-01-20,2023-01-20,2023-01-20,,Pris banktjänster enligt faktura,-1212.00,80645.42
"['A37', '2023-01-23', '2023-01-23', '1941', 'Bank F', '', '', 'Internï¿½verfï¿½ring', '', '', '1400']","['A37', '2023-01-23', '2023-01-23', '1913', 'Kassa sexmï¿½steriet', '', '', 'Internï¿½verfï¿½ring', '', '1400', '']",594,83139,0741326839,Företagskonto,SEK,2023-01-23,2023-01-23,2023-01-23,Internöverföring,Överföring via internet,-1400.00,78445.42
"['A40', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Cafe Nycklar', '', '', '280']","['A40', '2023-01-24', '2023-01-24', '5510', 'Reparation och underhï¿½ll', 'PRY1', '', 'Cafe Nycklar', '', '280', '']",585,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Cafe Nycklar,Överföring via internet,-280.00,70541.98
"['A41', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'CafeLï¿½s', '', '', '449']","['A41', '2023-01-24', '2023-01-24', '5510', 'Reparation och underhï¿½ll', 'PRY1', '', 'CafeLï¿½s', '', '449', '']",583,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,CafeLås,Överföring via internet,-449.00,67936.98
"['A42', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Aux sladd', '', '', '39,9']","['A42', '2023-01-24', '2023-01-24', '5510', 'Reparation och underhï¿½ll', 'PRY1', '', 'Aux sladd', '', '39,9', '']",577,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,AuxBil,Överföring via internet,-39.90,65148.18
"['A43', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Diesel F-bil', '', '', '1061,28']","['A43', '2023-01-24', '2023-01-24', '5511', 'Drivmedel', 'PRY2', '', 'Diesel F-bil', '', '1061,28', '']",580,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Diesel F-bil,Överföring via internet,-1061.28,65646.88
"['A44', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Hyra Ishall', '', '', '400']","['A44', '2023-01-24', '2023-01-24', '2900', 'Fï¿½rutbetalda intï¿½kter / Upplupna kostnader', '', '', 'Hyra Ishall', 'Se A1862 2022', '400', '']",573,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Hyra Ishall,Bg-bet. via internet,-400.00,63360.18
"['A46', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Alkohol LednTack', '', '', '2350,2']","['A46', '2023-01-24', '2023-01-24', '2900', 'Fï¿½rutbetalda intï¿½kter / Upplupna kostnader', '', '', 'Alkohol LednTack', 'Se A1863 2022', '2350,2', '']",588,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Alkohol LednTack,Överföring via internet,-2350.20,72647.22
"['A50', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'TipEx Lim', '', '', '78,8']","['A50', '2023-01-24', '2023-01-24', '6110', 'Kontorsmateriel', 'ADM1', '', 'TipEx Lim', '', '78,8', '']",579,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,TipEx Lim,Överföring via internet,-78.80,65568.08
"['A51', '2023-01-24', '2023-01-24', '1941', 'Bank F', '', '', 'Alk Bordsvise', '', '', '627']","['A51', '2023-01-24', '2023-01-24', '2900', 'Fï¿½rutbetalda intï¿½kter / Upplupna kostnader', '', '', 'Alk Bordsvise', 'Se A1864 2022', '627', '']",586,83139,0741326839,Företagskonto,SEK,2023-01-24,2023-01-24,2023-01-24,Alk Bordsvise,Överföring via internet,-627.00,70821.98
