Vernr;Bokföringsdatum;Registreringsdatum;Konto;Benämning;Ks;Projnr;Verifikationstext;Transaktionsinfo;Debet;Kredit
A1;2023-01-01;2022-12-12;1700;Förutbetalda kostnader / Upplupna intäkter;;;Banhyra VT23;;;4680
A1;2023-01-01;2022-12-12;5222;Hyra lokal;KUL2;;Banhyra VT23;Se A1712 2022;4680;
A2;2023-01-01;2022-12-12;1700;Förutbetalda kostnader / Upplupna intäkter;;;Badmintonhyra VT23;;;9360
A2;2023-01-01;2022-12-12;5222;Hyra lokal;KUL2;;Badmintonhyra VT23;Se A1713 2022;9360;
A3;2023-01-01;2022-12-20;1700;Förutbetalda kostnader / Upplupna intäkter;;;Fika Värdrekrytering;;;210
A3;2023-01-01;2022-12-20;4210;Arrangemangskostnad;FNU2;;Fika Värdrekrytering;Se A1763 2022;210;
A4;2023-01-11;2023-01-11;1941;Bank F;;;Intervjumat;Se A1844 2022;;85
A4;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Intervjumat;;85;
A5;2023-01-11;2023-01-11;1941;Bank F;;;Bokföringsmat;;;85
A5;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Bokföringsmat;Se A1845 2022;85;
A6;2023-01-11;2023-01-11;1941;Bank F;;;Bokföringsmat;;;170
A6;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Bokföringsmat;Se A1846 2022;170;
A7;2023-01-11;2023-01-11;1941;Bank F;;;Bokföringsmat;;;85
A7;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Bokföringsmat;Se A1847 2022;85;
A8;2023-01-11;2023-01-11;1941;Bank F;;;Ledningstack;;;3457,7
A8;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Ledningstack;Se A1848 2022;3457,7;
A9;2023-01-02;2023-01-11;1941;Bank F;;;Kundbet asså (1801);;4;
A9;2023-01-02;2023-01-11;1610;Fordringar;;;Kundbet asså (1801);;;4
A10;2023-01-02;2023-01-11;1941;Bank F;;;Kundbet Axis Communications AB (1778);;1500;
A10;2023-01-02;2023-01-11;1610;Fordringar;;;Kundbet Axis Communications AB (1778);;;1500
A11;2023-01-02;2023-01-11;1941;Bank F;;;Kundbet Triathlon AB (1776);;23000;
A11;2023-01-02;2023-01-11;1610;Fordringar;;;Kundbet Triathlon AB (1776);;;23000
A12;2023-01-02;2023-01-11;1941;Bank F;;;Kundbet Cellavision (1777);;23000;
A12;2023-01-02;2023-01-11;1610;Fordringar;;;Kundbet Cellavision (1777);;;23000
A13;2023-01-03;2023-01-11;1941;Bank F;;;Kundbet Accenture AB (1789);;2000;
A13;2023-01-03;2023-01-11;1610;Fordringar;;;Kundbet Accenture AB (1789);;;2000
A14;2023-01-04;2023-01-11;1941;Bank F;;;Kundbet Selma Nygårds (1796);;150;
A14;2023-01-04;2023-01-11;1610;Fordringar;;;Kundbet Selma Nygårds (1796);;;150
A15;2023-01-11;2023-01-11;1941;Bank F;;;Hyra gasque SING;;;16110
A15;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Hyra gasque SING;Se A1849 2022;16110;
A16;2023-01-11;2023-01-11;1941;Bank F;;;Hyra Nollegasque ;;;34290
A16;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Hyra Nollegasque ;Se A1850 2022;34290;
A17;2023-01-11;2023-01-11;1941;Bank F;;;Hyra Gasque Jubilieum;;;24595
A17;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Hyra Gasque Jubilieum;Se A1851 2022;24595;
A18;2023-01-11;2023-01-11;1942;Bank café;;;Internöverföring;;;80000
A18;2023-01-11;2023-01-11;1941;Bank F;;;Internöverföring;;80000;
A19;2023-01-11;2023-01-11;1941;Bank F;;;Hyra Cornelis Stortorgs;;;3800
A19;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;Hyra Cornelis Stortorgs;Se A1825 2022;3800;
A20;2023-01-11;2023-01-11;1941;Bank F;;;E-tryckeriet;;;5947
A20;2023-01-11;2023-01-11;2900;Förutbetalda intäkter / Upplupna kostnader;;;E-tryckeriet;Se A1853 2022;5947;
A21;2023-01-12;2023-03-02;1941;Bank F;;;Tillstånd Farad 1feb;;;1400
A21;2023-01-12;2023-03-02;4210;Arrangemangskostnad;FNU2;;Tillstånd Farad 1feb;;1400;
A22;2023-01-12;2023-03-02;1941;Bank F;;;Tillstånd Farad 2feb;;;1400
A22;2023-01-12;2023-03-02;4210;Arrangemangskostnad;FNU2;;Tillstånd Farad 2feb;;1400;
A23;2023-01-12;2023-01-12;1941;Bank F;;;Tillstånd FETSM;;;1400
A23;2023-01-12;2023-01-12;6950;Avgift till myndighet;SEX1;;Tillstånd FETSM;;1400;
A24;2023-01-13;2023-01-13;1941;Bank F;;;C-cert Prov;;;1200
A24;2023-01-13;2023-01-13;6950;Avgift till myndighet;SEX1;;C-cert Prov;;1200;
A25;2023-01-16;2023-01-16;1941;Bank F;;;Internöverföring;;;20000
A25;2023-01-16;2023-01-16;1942;Bank café;;;Internöverföring;;20000;
A26;2023-01-11;2023-01-16;1941;Bank F;;;Kundbet Teknologkåren vid LTH (1795);;1180;
A26;2023-01-11;2023-01-16;1610;Fordringar;;;Kundbet Teknologkåren vid LTH (1795);;;1180
A27;2023-01-12;2023-01-16;1941;Bank F;;;Kundbet Ericsson AB (1798);;36000;
A27;2023-01-12;2023-01-16;1610;Fordringar;;;Kundbet Ericsson AB (1798);;;36000
A28;2023-01-16;2023-01-16;1941;Bank F;;;Kundbet Herman Zachen (1784);;220;
A28;2023-01-16;2023-01-16;1610;Fordringar;;;Kundbet Herman Zachen (1784);;;220
A29;2023-01-17;2023-01-17;1941;Bank F;;;Adobe creative clouds;;;6243
A29;2023-01-17;2023-01-17;5420;Programvaror;SAN1;;Adobe creative clouds;;6243;
A30;2023-01-23;2023-01-23;1941;Bank F;;;Bilförsäkring;;;1952
A30;2023-01-23;2023-01-23;5612;Försäkring och skatt för personbilar;PRY2;;Bilförsäkring;;1952;
A31;2023-01-20;2023-01-23;1941;Bank F;;;Pris banktjänster enligt faktura;;;1212
A31;2023-01-20;2023-01-23;6570;Bankkostnader;ADM1;;Pris banktjänster enligt faktura;;1212;
A32;2023-01-17;2023-01-23;1942;Bank café;;;Zettle Avgift Lv0 Lp3;;;66,63
A32;2023-01-17;2023-01-23;6571;Transaktionsavgifter;ADM1;;Zettle Avgift Lv0 Lp3;;66,63;
A33;2023-01-17;2023-01-23;1942;Bank café;;;Zettle Kultur Lv0 LP3 ;;4430;
A33;2023-01-17;2023-01-23;2900;Förutbetalda intäkter / Upplupna kostnader;;;Zettle Kultur Lv0 LP3 ;Se A1861 2022;;4430
A34;2023-01-20;2023-01-23;1942;Bank café;;;Pris banktjänster enligt faktura;;;300
A34;2023-01-20;2023-01-23;6570;Bankkostnader;ADM1;;Pris banktjänster enligt faktura;;300;
A35;2023-01-20;2023-01-23;1944;Bank projekt;;;Pris banktjänster enligt faktura;;;2100
A35;2023-01-20;2023-01-23;6570;Bankkostnader;ADM1;;Pris banktjänster enligt faktura;;2100;
A36;2023-01-20;2023-01-23;1915;Kassa nollning;ADM1;;Pris banktjänster enligt faktura;;;350
A36;2023-01-20;2023-01-23;6570;Bankkostnader;ADM1;;Pris banktjänster enligt faktura;;350;
A37;2023-01-23;2023-01-23;1941;Bank F;;;Internöverföring;;;1400
A37;2023-01-23;2023-01-23;1913;Kassa sexmästeriet;;;Internöverföring;;1400;
A38;2023-01-23;2023-01-24;1943;Bank sexmästeriet;;;Pris banktjänster enligt faktura;;;1400
A38;2023-01-23;2023-01-24;6570;Bankkostnader;ADM1;;Pris banktjänster enligt faktura;;1400;
A39;2023-01-02;2023-03-02;2900;Förutbetalda intäkter / Upplupna kostnader;;;Shockbyte Pty Ltd 0423137366;Se A1865 2022;186,64;
A39;2023-01-02;2023-03-02;1944;Bank projekt;;;Shockbyte Pty Ltd 0423137366;;;186,64
A40;2023-01-24;2023-01-24;1941;Bank F;;;Cafe Nycklar;;;280
A40;2023-01-24;2023-01-24;5510;Reparation och underhåll;PRY1;;Cafe Nycklar;;280;
A41;2023-01-24;2023-01-24;1941;Bank F;;;CafeLås;;;449
A41;2023-01-24;2023-01-24;5510;Reparation och underhåll;PRY1;;CafeLås;;449;
A42;2023-01-24;2023-01-24;1941;Bank F;;;Aux sladd;;;39,9
A42;2023-01-24;2023-01-24;5510;Reparation och underhåll;PRY1;;Aux sladd;;39,9;
A43;2023-01-24;2023-01-24;1941;Bank F;;;Diesel F-bil;;;1061,28
A43;2023-01-24;2023-01-24;5511;Drivmedel;PRY2;;Diesel F-bil;;1061,28;
A44;2023-01-24;2023-01-24;1941;Bank F;;;Hyra Ishall;;;400
A44;2023-01-24;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;Hyra Ishall;Se A1862 2022;400;
A45;2023-01-12;2023-01-24;1944;Bank projekt;;;BESIKTA K0720;;;469
A45;2023-01-12;2023-01-24;5510;Reparation och underhåll;PRY2;;BESIKTA K0720;;469;
A46;2023-01-24;2023-01-24;1941;Bank F;;;Alkohol LednTack;;;2350,2
A46;2023-01-24;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;Alkohol LednTack;Se A1863 2022;2350,2;
A47;2023-01-11;2023-01-24;1944;Bank projekt;;;CIRCLE K LUND MAGISTRA K0720;;;25
A47;2023-01-11;2023-01-24;5510;Reparation och underhåll;PRY2;;CIRCLE K LUND MAGISTRA K0720;;25;
A48;2023-01-11;2023-04-29;1944;Bank projekt;;;CIRCLE K LUND MAGISTRA K0720;;;394
A48;2023-01-11;2023-04-29;5510;Reparation och underhåll;PRY2;;CIRCLE K LUND MAGISTRA K0720;;394;
A49;2023-01-12;2023-05-10;1944;Bank projekt;;;BILTEMA SWEDEN LUND K0720;;;79,4
A49;2023-01-12;2023-05-10;5510;Reparation och underhåll;PRY2;;BILTEMA SWEDEN LUND K0720;;79,4;
A50;2023-01-24;2023-01-24;1941;Bank F;;;TipEx Lim;;;78,8
A50;2023-01-24;2023-01-24;6110;Kontorsmateriel;ADM1;;TipEx Lim;;78,8;
A51;2023-01-24;2023-01-24;1941;Bank F;;;Alk Bordsvise;;;627
A51;2023-01-24;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;Alk Bordsvise;Se A1864 2022;627;
A52;2023-01-24;2023-01-24;1941;Bank F;;;Diesel F-bil;;;1198,24
A52;2023-01-24;2023-01-24;5511;Drivmedel;PRY2;;Diesel F-bil;;1198,24;
A53;2023-01-24;2023-01-24;1941;Bank F;;;MatSyrelseUtbildning;;;700
A53;2023-01-24;2023-01-24;4210;Arrangemangskostnad;ADM2;;MatSyrelseUtbildning;;700;
A54;2023-01-24;2023-01-24;1941;Bank F;;;Bokföringsmat;;;170
A54;2023-01-24;2023-01-24;7691;Fika;ADM2;;Bokföringsmat;;170;
A55;2023-01-24;2023-01-24;1941;Bank F;;;PingisBollar;;;468
A55;2023-01-24;2023-01-24;6610;Inköp inventarier;KUL2;;PingisBollar;;468;
A56;2023-01-24;2023-01-24;1941;Bank F;;;Mat Bordsvise;;;2156
A56;2023-01-24;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;Mat Bordsvise;Se A1866 2022;2156;
A57;2023-01-24;2023-01-24;1941;Bank F;;;Mat Bordsvise;;;220
A57;2023-01-24;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;Mat Bordsvise;Se A1867 2022;220;
A58;2023-01-17;2023-01-24;1941;Bank F;;;Kundbet David Hermelin (1781);;155;
A58;2023-01-17;2023-01-24;1610;Fordringar;;;Kundbet David Hermelin (1781);;;155
A59;2023-01-24;2023-01-24;1941;Bank F;;;Bar Bordsvise;;;380
A59;2023-01-24;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;Bar Bordsvise;Se A1868 2022;380;
A60;2023-01-24;2023-01-24;1941;Bank F;;;Mat Reptillfälle;;;919,32
A60;2023-01-24;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;Mat Reptillfälle;Se A1869 2022;919,32;
A61;2023-01-24;2023-01-24;1941;Bank F;;;Scenkläder;;;105
A61;2023-01-24;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;Scenkläder;Se A1870 2023;105;
A62;2023-01-24;2023-01-24;1941;Bank F;;;Scenkläder;;;185
A62;2023-01-24;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;Scenkläder;Se A1871 2023;185;
A63;2023-01-24;2023-01-24;1941;Bank F;;;Scenkläder;;;309,5
A63;2023-01-24;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;Scenkläder;Se A1872 2022;309,5;
A64;2023-01-24;2023-01-24;1941;Bank F;;;Scenkläder;;;1036
A64;2023-01-24;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;Scenkläder;Se A1873 2022;1036;
A65;2023-01-17;2023-01-24;1941;Bank F;;;6428437;;1451;
A65;2023-01-17;2023-01-24;2900;Förutbetalda intäkter / Upplupna kostnader;;;6428437;Se A1874 2022;;1451
A66;2023-01-30;2023-01-30;1941;Bank F;;;SkiftesStuga;;;7000
A66;2023-01-30;2023-01-30;7693;Skifteskostnad;ADM2;;SkiftesStuga;;7000;
A67;2023-02-01;2023-02-01;1941;Bank F;;;Dricka och snacks;;;341
A67;2023-02-01;2023-02-01;2900;Förutbetalda intäkter / Upplupna kostnader;;;Dricka och snacks;Se A1875 2022;341;
A68;2023-02-01;2023-02-01;1941;Bank F;;;Alkoholcaftack;;;1104
A68;2023-02-01;2023-02-01;2900;Förutbetalda intäkter / Upplupna kostnader;;;Alkoholcaftack;Se A1876 2022;1104;
A69;2023-02-01;2023-02-01;1941;Bank F;;;AlkoholPryltack;;;1272
A69;2023-02-01;2023-02-01;2900;Förutbetalda intäkter / Upplupna kostnader;;;AlkoholPryltack;Se A1877 2022;1272;
A70;2023-02-01;2023-02-01;1941;Bank F;;;alkfriPryTack;;;250,59
A70;2023-02-01;2023-02-01;2900;Förutbetalda intäkter / Upplupna kostnader;;;alkfriPryTack;Se A1878 2022;250,59;
A71;2023-02-01;2023-02-01;1941;Bank F;;;såsmat rep;;;117,8
A71;2023-02-01;2023-02-01;2900;Förutbetalda intäkter / Upplupna kostnader;;;såsmat rep;Se A1879 2022;117,8;
A72;2023-02-01;2023-02-01;1941;Bank F;;;såsmat rep;;;490,59
A72;2023-02-01;2023-02-01;2900;Förutbetalda intäkter / Upplupna kostnader;;;såsmat rep;Se A1880 2022;490,59;
A73;2023-02-01;2023-02-01;1941;Bank F;;;Kostym SåS;;;791,75
A73;2023-02-01;2023-02-01;2900;Förutbetalda intäkter / Upplupna kostnader;;;Kostym SåS;Se A1881 2022;791,75;
A74;2023-02-01;2023-02-01;1941;Bank F;;;Kostym SåS;;;175,9
A74;2023-02-01;2023-02-01;2900;Förutbetalda intäkter / Upplupna kostnader;;;Kostym SåS;Se A1882 2022;175,9;
A75;2023-02-01;2023-02-01;1941;Bank F;;;AlkTackSex;;;1877,6
A75;2023-02-01;2023-02-01;2900;Förutbetalda intäkter / Upplupna kostnader;;;AlkTackSex;Se A1883 2022;1877,6;
A76;2023-02-01;2023-02-01;1941;Bank F;;;SaftUmeåVT22;;;800
A76;2023-02-01;2023-02-01;2900;Förutbetalda intäkter / Upplupna kostnader;;;SaftUmeåVT22;Se A1884 2022;800;
A77;2023-02-01;2023-02-01;1941;Bank F;;;Värdutbildning;;;83,3
A77;2023-02-01;2023-02-01;4210;Arrangemangskostnad;FNU2;;Värdutbildning;;83,3;
A78;2023-02-01;2023-02-01;1941;Bank F;;;Ansvarspostutbildning Mat;;;1947
A78;2023-02-01;2023-02-01;4210;Arrangemangskostnad;ADM2;;Ansvarspostutbildning Mat;;1947;
A79;2023-02-01;2023-04-29;1941;Bank F;;;FaradFika;;;540,5
A79;2023-02-01;2023-04-29;4210;Arrangemangskostnad;FNU2;;FaradFika;;540,5;
A80;2023-02-01;2023-02-01;1941;Bank F;;;FaradTejp;;;39,9
A80;2023-02-01;2023-02-01;4210;Arrangemangskostnad;FNU2;;FaradTejp;;39,9;
A81;2023-02-01;2023-02-01;1941;Bank F;;;SkåpLås;;;1996
A81;2023-02-01;2023-02-01;4321;Inköp varor;PRY1;;SkåpLås;;1996;
A82;2023-02-01;2023-02-01;1941;Bank F;;;FaradMat;;;5101,5
A82;2023-02-01;2023-02-01;4210;Arrangemangskostnad;FNU2;;FaradMat;;5101,5;
A83;2023-01-24;2023-02-01;1942;Bank café;;;Zettle Avgift Lv1 Lp3 ;;;12,34
A83;2023-01-24;2023-02-01;6571;Transaktionsavgifter;ADM1;;Zettle Avgift Lv1 Lp3 ;;12,34;
A84;2023-01-24;2023-02-01;1942;Bank café;;;Zettle Café Lv1 Lp3;;822;
A84;2023-01-24;2023-02-01;3010;Försäljning;CAF1;;Zettle Café Lv1 Lp3;;;822
A85;2023-01-31;2023-02-01;1942;Bank café;;;Zettle Avgift Lv2 Lp3;;;669,84
A85;2023-01-31;2023-02-01;6571;Transaktionsavgifter;ADM1;;Zettle Avgift Lv2 Lp3;;669,84;
A86;2023-01-31;2023-05-10;1942;Bank café;;;Izettle Kultur Lv2 Lp3;;1947;
A86;2023-01-31;2023-05-10;2900;Förutbetalda intäkter / Upplupna kostnader;;;Izettle Kultur Lv2 Lp3;Se A1885 2022;;1947
A87;2023-02-03;2023-02-02;1942;Bank café;;;Utlägg caf;;;63,8
A87;2023-02-03;2023-02-02;4321;Inköp varor;CAF1;;Utlägg caf;;63,8;
A88;2023-02-03;2023-02-02;1942;Bank café;;;Utlägg caf;;;156,2
A88;2023-02-03;2023-02-02;4321;Inköp varor;CAF1;;Utlägg caf;;156,2;
A89;2023-02-03;2023-02-02;1942;Bank café;;;Utlägg caf;;;27,2
A89;2023-02-03;2023-02-02;4321;Inköp varor;CAF1;;Utlägg caf;;27,2;
A90;2023-01-25;2023-02-02;1944;Bank projekt;;;WILLYS LUND K3659;;;1395,3
A90;2023-01-25;2023-02-02;4321;Inköp varor;CAF1;;WILLYS LUND K3659;;226,8;
A90;2023-01-25;2023-02-02;4314;Inköp kaffe;CAF1;;WILLYS LUND K3659;;1108,5;
A90;2023-01-25;2023-02-02;5460;Förbrukningsmaterial;CAF1;;WILLYS LUND K3659;;60;
A91;2023-02-03;2023-02-02;1942;Bank café;;;Utlägg caf;;;85,8
A91;2023-02-03;2023-02-02;4321;Inköp varor;CAF1;;Utlägg caf;;85,8;
A92;2023-01-23;2023-02-02;1944;Bank projekt;;;ICA KVANTUM MALMBORGS K1665;;;100,4
A92;2023-01-23;2023-02-02;7695;Arbetskostnad;CAF1;;ICA KVANTUM MALMBORGS K1665;;100,4;
A93;2023-01-23;2023-02-02;1944;Bank projekt;;;PIZZERIA GOTT OCH NARA K1665;;;490
A93;2023-01-23;2023-02-02;7695;Arbetskostnad;CAF1;;PIZZERIA GOTT OCH NARA K1665;;490;
A94;2023-01-19;2023-02-02;1944;Bank projekt;;;IKEA-SVAGERTORP K1665;;;216
A94;2023-01-19;2023-02-02;6610;Inköp inventarier;CAF1;;IKEA-SVAGERTORP K1665;;216;
A95;2023-01-16;2023-02-02;1944;Bank projekt;;;BILTEMA SWEDEN LUND K3659;;;99,9
A95;2023-01-16;2023-02-02;5510;Reparation och underhåll;CAF1;;BILTEMA SWEDEN LUND K3659;;99,9;
A96;2023-02-03;2023-02-02;1942;Bank café;;;Utlägg caf;;;95,6
A96;2023-02-03;2023-02-02;5460;Förbrukningsmaterial;CAF1;;Utlägg caf;;95,6;
A97;2023-02-03;2023-02-02;1942;Bank café;;;Utlägg caf;;;129,4
A97;2023-02-03;2023-02-02;4321;Inköp varor;CAF1;;Utlägg caf;;129,4;
A98;2023-01-18;2023-02-02;1942;Bank café;;;Mormors 077475;;;14162
A98;2023-01-18;2023-02-02;4313;Inköp bröd;CAF1;;Mormors 077475;;14162;
A99;2023-01-27;2023-03-31;1942;Bank café;;;SC1310404900;;;4551
A99;2023-01-27;2023-03-31;4321;Inköp varor;CAF1;;SC1310404900;;4551;
A100;2023-01-30;2023-02-02;1942;Bank café;;;SC1310405082;;;11696
A100;2023-01-30;2023-02-02;5460;Förbrukningsmaterial;CAF1;;SC1310405082;Ajax, A-tork, träbestick;2089,81;
A100;2023-01-30;2023-02-02;4321;Inköp varor;CAF1;;SC1310405082;;9606,19;
A101;2023-01-04;2023-02-02;1942;Bank café;;;2719995;;454,04;
A101;2023-01-04;2023-02-02;3510;Pantintäkt;CAF1;;2719995;;;454,04
A102;2023-02-03;2023-02-03;1941;Bank F;;;LunchföreläsningFARAD;;;119
A102;2023-02-03;2023-02-03;4210;Arrangemangskostnad;FNU2;;LunchföreläsningFARAD;;119;
A103;2023-02-03;2023-02-03;1941;Bank F;;;MattejpFARAD;;;1791
A103;2023-02-03;2023-02-03;4210;Arrangemangskostnad;FNU2;;MattejpFARAD;;1791;
A104;2023-02-03;2023-02-03;1941;Bank F;;;UtbildningFNU;;;500
A104;2023-02-03;2023-02-03;4210;Arrangemangskostnad;FNU1;;UtbildningFNU;;500;
A105;2023-02-03;2023-02-03;1941;Bank F;;;Bokföringsmat;;;85
A105;2023-02-03;2023-02-03;7691;Fika;ADM2;;Bokföringsmat;;85;
A106;2023-02-03;2023-02-03;1942;Bank café;;;utlägg café;;;79,2
A106;2023-02-03;2023-02-03;4321;Inköp varor;CAF1;;utlägg café;;79,2;
A107;2023-02-06;2023-02-06;1946;Bank nollning;;;Internövföring;;;13443,78
A107;2023-02-06;2023-02-06;1944;Bank projekt;;;Internövföring;;13443,78;
A108;2023-01-30;2023-03-28;1943;Bank sexmästeriet;;;(FETSM) CLAS OHLSON K7490;;;119,9
A108;2023-01-30;2023-03-28;4321;Inköp varor;SEX1;;(FETSM) CLAS OHLSON K7490;;119,9;
A109;2023-01-30;2023-03-28;1943;Bank sexmästeriet;;;(FETSM) CLAS OHLSON K7490;;;358
A109;2023-01-30;2023-03-28;4321;Inköp varor;SEX1;;(FETSM) CLAS OHLSON K7490;;358;
A110;2023-01-31;2023-02-11;1943;Bank sexmästeriet;;;(FETSM) MATTSSONS FOTO VIDEO K7490;;;647
A110;2023-01-31;2023-02-11;4321;Inköp varor;SEX1;;(FETSM) MATTSSONS FOTO VIDEO K7490;;647;
A111;2023-01-30;2023-03-28;1943;Bank sexmästeriet;;;(FETSM) ERIKSHJALPEN LU K7490;;;368
A111;2023-01-30;2023-03-28;4321;Inköp varor;SEX1;;(FETSM) ERIKSHJALPEN LU K7490;;368;
A112;2023-01-30;2023-03-28;1943;Bank sexmästeriet;;;(FETSM) PANDURO HOBBY K7490;;;89,8
A112;2023-01-30;2023-03-28;4321;Inköp varor;SEX1;;(FETSM) PANDURO HOBBY K7490;;89,8;
A113;2023-01-30;2023-03-28;1943;Bank sexmästeriet;;;(Mästarglas) BUTTERICKS LECO K7490;;;200
A113;2023-01-30;2023-03-28;6610;Inköp inventarier;SEX1;;(Mästarglas) BUTTERICKS LECO K7490;;200;
A114;2023-02-03;2023-02-11;1943;Bank sexmästeriet;;;(FETSM) ICA KVANTUM MOBILIA LU K6612;;;1038,55
A114;2023-02-03;2023-02-11;4412;Inköp pubdryck;SEX1;;(FETSM) ICA KVANTUM MOBILIA LU K6612;;1038,55;
A115;2023-02-06;2023-03-28;1943;Bank sexmästeriet;;;(FETSM) BRODER JAKOBS K6612;;;665
A115;2023-02-06;2023-03-28;4311;Inköp mat;SEX1;;(FETSM) BRODER JAKOBS K6612;;665;
A116;2023-02-06;2023-03-28;1943;Bank sexmästeriet;;;(FETSM) Systembolaget K7490;;;97
A116;2023-02-06;2023-03-28;4311;Inköp mat;SEX1;;(FETSM) Systembolaget K7490;;97;
A117;2023-02-06;2023-03-28;1943;Bank sexmästeriet;;;(FETSM) COOP MÅRTENSTORGET K7490;;;1596,86
A117;2023-02-06;2023-03-28;7695;Arbetskostnad;SEX1;;(FETSM) COOP MÅRTENSTORGET K7490;;1596,86;
A118;2023-02-07;2023-02-07;1941;Bank F;;;Bilreperation;;;6289
A118;2023-02-07;2023-02-07;5510;Reparation och underhåll;PRY2;;Bilreperation;;6289;
A119;2023-02-07;2023-03-02;1942;Bank café;;;Zettle Avgift Lv3 Lp3;;;566,58
A119;2023-02-07;2023-03-02;6571;Transaktionsavgifter;ADM1;;Zettle Avgift Lv3 Lp3;;566,58;
A120;2023-02-06;2023-02-07;1946;Bank nollning;NOL1;;CALENDLY AVONDALE ESTA ;;;159,53
A120;2023-02-06;2023-02-07;4490;Övriga kostnader;NOL1;;CALENDLY AVONDALE ESTA ;;159,53;
A121;2023-02-07;2023-02-07;1944;Bank projekt;;;InternÖvföring;;;21152,73
A121;2023-02-07;2023-02-07;1941;Bank F;;;InternÖvföring;;21152,73;
A122;2023-02-07;2023-03-28;1942;Bank café;;;Zettle FARAD Lv3 Lp3;;2765;
A122;2023-02-07;2023-03-28;3211;Intäkt från företag;FNU2;;Zettle FARAD Lv3 Lp3;;;2765
A123;2023-02-08;2023-02-08;1941;Bank F;;;AlkoholFARADPub;;;2798,5
A123;2023-02-08;2023-02-08;4210;Arrangemangskostnad;FNU2;;AlkoholFARADPub;;2798,5;
A124;2023-02-09;2023-02-08;1942;Bank café;;;Utlägg caf;;;139,5
A124;2023-02-09;2023-02-08;4321;Inköp varor;CAF1;;Utlägg caf;;139,5;
A125;2023-02-08;2023-02-08;1941;Bank F;;;Bänkolja;;;99,9
A125;2023-02-08;2023-02-08;4321;Inköp varor;PRY1;;Bänkolja;;99,9;
A126;2023-02-08;2023-03-28;1941;Bank F;;;Intervjumat;;;170
A126;2023-02-08;2023-03-28;7691;Fika;ADM2;;Intervjumat;;170;
A127;2023-02-07;2023-02-08;1944;Bank projekt;;;WILLYS LUND K3659;;;59,7
A127;2023-02-07;2023-02-08;5460;Förbrukningsmaterial;CAF1;;WILLYS LUND K3659;;59,7;
A128;2023-02-08;2023-02-08;1941;Bank F;;;LedningsSkifte;;;4769,43
A128;2023-02-08;2023-02-08;7693;Skifteskostnad;ADM2;;LedningsSkifte;;4769,43;
A129;2023-02-06;2023-02-08;1944;Bank projekt;;;ICA KVANTUM MALMBORGS K1665;;;67,8
A129;2023-02-06;2023-02-08;4321;Inköp varor;CAF1;;ICA KVANTUM MALMBORGS K1665;;67,8;
A130;2023-02-08;2023-02-08;1941;Bank F;;;Lophtet Sexetkickoff ;;;2500
A130;2023-02-08;2023-02-08;4210;Arrangemangskostnad;SEX1;;Lophtet Sexetkickoff ;;2500;
A131;2023-02-08;2023-02-08;1941;Bank F;;;SexetKablar;;;250
A131;2023-02-08;2023-02-08;4210;Arrangemangskostnad;SEX1;;SexetKablar;;250;
A132;2023-02-02;2023-02-08;3800;Internt (biljetter och försäljning);CAF1;;FARAD catering;;;2266
A132;2023-02-02;2023-02-08;4210;Arrangemangskostnad;FNU2;;FARAD catering;;2266;
A133;2023-02-08;2023-02-08;1942;Bank café;;;Internöverföring;;;50000
A133;2023-02-08;2023-02-08;1941;Bank F;;;Internöverföring;;50000;
A134;2023-02-08;2023-02-08;1941;Bank F;;;GoGSalladFARAD;;;8062
A134;2023-02-08;2023-02-08;4210;Arrangemangskostnad;FNU2;;GoGSalladFARAD;;8062;
A135;2023-01-18;2023-02-08;1942;Bank café;;;2719995;;301,79;
A135;2023-01-18;2023-02-08;3510;Pantintäkt;CAF1;;2719995;;;301,79
A136;2023-02-08;2023-02-08;1941;Bank F;;;AspiaBetalning;;;2772,5
A136;2023-02-08;2023-02-08;6570;Bankkostnader;ADM1;;AspiaBetalning;;2772,5;
