Vernr;Bokföringsdatum;Registreringsdatum;Konto;Benämning;Ks;Projnr;Verifikationstext;Transaktionsinfo;Debet;Kredit
A469;2023-04-29;2023-04-29;1941;Bank F;;;VonTänen;;;20,9
A469;2023-04-29;2023-04-29;4210;Arrangemangskostnad;SAN1;;VonTänen;;20,9;
A470;2023-04-29;2023-04-29;1941;Bank F;;;MötesMat;;;510
A470;2023-04-29;2023-04-29;7691;Fika;ADM2;;MötesMat;;510;
A471;2023-04-29;2023-04-29;1941;Bank F;;;Present ING;;;75,9
A471;2023-04-29;2023-04-29;7111;Styrelsen disponibelt;ADM1;;Present ING;;75,9;
A472;2023-04-29;2023-04-29;1941;Bank F;;;Värd tack;;;657,55
A472;2023-04-29;2023-04-29;7692;Utskottstack;FNU2;;Värd tack;;657,55;
A473;2023-04-29;2023-04-29;1941;Bank F;;;Värd Tack;;;592,6
A473;2023-04-29;2023-04-29;7692;Utskottstack;FNU2;;Värd Tack;;592,6;
A474;2023-04-29;2023-04-29;1941;Bank F;;;Värd Tack;;;531
A474;2023-04-29;2023-04-29;7692;Utskottstack;FNU2;;Värd Tack;;531;
A475;2023-04-29;2023-04-29;1941;Bank F;;;CykelPump;;;129
A475;2023-04-29;2023-04-29;6610;Inköp inventarier;PRY1;;CykelPump;;129;
A476;2023-04-29;2023-04-29;1941;Bank F;;;Wii Inköp;;;843
A476;2023-04-29;2023-04-29;2171;Investeringsfonden;;;Wii Inköp;batterier;139;
A476;2023-04-29;2023-04-29;2171;Investeringsfonden;;;Wii Inköp;kontroller;704;
A477;2023-04-29;2023-06-09;1941;Bank F;;;Wii;;;600
A477;2023-04-29;2023-06-09;2171;Investeringsfonden;;;Wii;;600;
A478;2023-04-29;2023-04-29;1941;Bank F;;;ledningsSkål;;;342
A478;2023-04-29;2023-04-29;7111;Styrelsen disponibelt;ADM1;;ledningsSkål;;342;
A479;2023-04-29;2023-04-29;1941;Bank F;;;Tv fot;;;187,09
A479;2023-04-29;2023-04-29;6610;Inköp inventarier;KUL1;;Tv fot;;187,09;
A480;2023-04-29;2023-04-29;1941;Bank F;;;Klättring;;;800
A480;2023-04-29;2023-04-29;5222;Hyra lokal;KUL2;;Klättring;;800;
A481;2023-04-29;2023-04-29;1941;Bank F;;;CEQ-pris;;;1200
A481;2023-04-29;2023-04-29;4321;Inköp varor;STU1;;CEQ-pris;;1200;
A482;2023-04-29;2023-04-29;1941;Bank F;;;VonTänen Testar;;;100
A482;2023-04-29;2023-04-29;4210;Arrangemangskostnad;SAN1;;VonTänen Testar;;30;
